wt_1,lak_1,wt_2,lak_2,wt_3,lak_3
Dr.23315.1.S1_at,7.395955887,7.669980793,6.66615944,7.279937795,6.962908863,7.642356742
Dr.12080.1.A1_at,8.061342684,2.904287241,4.360876452,2.599276184,5.559405507,2.834253218
Dr.25421.1.S1_at,4.737209581,5.358774268,4.917291455,6.000949766,3.886237929,4.720334406
Dr.4535.1.S1_at,10.83631578,10.57291322,10.64398483,10.21208584,11.01804672,10.23156865
Dr.17605.1.S1_at,11.12079474,11.00629467,11.36566858,11.12888862,11.29573462,11.03087474
Dr.16727.1.A1_at,3.793382367,3.49988524,4.262056481,3.503411222,3.664729543,3.228845822
Dr.20582.1.S1_at,2.904149662,4.12640926,3.23554062,4.329334438,3.109985732,3.434285236
Dr.6183.1.A1_at,4.895177795,4.418098893,5.64495732,4.547910095,5.976961099,5.186996251
Dr.23720.1.A1_at,7.833108488,7.101300396,7.935178545,7.215053152,7.28891978,7.065478357
Dr.12295.1.S1_at,4.950094503,5.515124593,4.000821344,5.301781363,5.292719207,6.420499742
Dr.20167.2.S1_a_at,14.33772484,14.23249615,14.23691541,14.07103955,14.33458464,14.10831006
Dr.2999.2.S1_at,7.615357845,8.064873225,7.458540393,7.631034344,7.370231859,7.925747547
Dr.18729.1.A1_at,8.99835232,9.376214312,9.032274619,9.315690688,9.241855892,9.356705744
Dr.23493.1.S1_at,11.29018786,11.04711457,11.88188828,11.39737635,11.52571064,10.97895792
Dr.6906.1.A1_at,6.287479569,6.969511511,6.094234934,6.318393901,5.976490454,6.704160587
Dr.4371.2.S1_at,7.925567474,8.537658983,7.156269095,7.968590793,6.552505237,7.57222409
Dr.837.1.A1_at,9.996474737,10.18599856,9.925236255,10.05176761,9.770607222,10.04176818
Dr.12878.3.A1_at,2.895924469,3.593187196,3.094838443,3.60939428,3.122531464,4.523521405
Dr.7117.1.A1_at,12.83157415,13.10288257,13.00118639,13.11061263,12.7309026,13.05737367
Dr.17752.1.A1_at,8.823538067,7.805566655,8.537481588,8.142134795,8.454064681,8.054857385
Dr.20138.1.A1_at,7.926033168,7.572446269,7.97140533,7.780802941,7.981549968,7.832541739
Dr.17295.1.A1_at,8.641614885,8.400698537,9.154556241,8.470494186,8.621013473,8.129843901
Dr.12916.1.A1_at,5.846796768,5.179561387,6.088285884,5.618489403,6.817497622,6.034869942
Dr.14001.1.A1_at,7.798915681,7.361417517,7.992044037,7.667443095,7.752859096,6.945079894
Dr.11692.1.S1_at,6.454478256,7.466614341,6.347561222,7.243221382,5.331098442,6.076889736
Dr.180.1.A1_at,8.34729047,7.958424341,8.71463827,8.050468642,8.636709456,8.393612064
Dr.20270.1.S1_at,2.528090725,2.416519443,2.501013304,2.390630508,2.620400427,2.459844117
Dr.1410.1.S1_at,3.856861909,4.680043403,3.412754342,4.213839308,4.147713934,4.408105483
Dr.13335.1.S1_at,9.597016145,9.690687433,9.495336399,9.68813405,9.567240671,9.82395636
Dr.2912.1.A1_at,7.419350022,7.25907012,7.421800618,7.147716503,7.718164595,7.417242154
Dr.7935.1.S1_at,6.216692535,6.685031156,6.72899854,7.207293712,5.892009789,6.486517418
